epoch,validity,clean_validity,uniqueness,novelty,QED,SA
1,1.0,0.0,0.002,1.0,0.4509,2.8076
2,1.0,0.0,0.002,1.0,0.4478,2.1993
3,0.0,0.0,0.0,0.0,,
4,1.0,0.0,0.002,1.0,0.4442,4.0684
5,0.0,0.0,0.0,0.0,,
6,1.0,0.0,0.002,1.0,0.4714,2.5741
7,1.0,0.0,0.004,1.0,0.5341,3.1344
8,0.892,0.0,0.0179,1.0,0.4636,3.0846
9,1.0,0.0,0.014,1.0,0.4975,2.1665
10,1.0,0.948,0.004,0.052,0.494,1.9587
11,0.998,0.0,0.006,1.0,0.5138,4.2608
12,1.0,1.0,0.002,1.0,0.4019,2.661
13,0.998,0.0,0.016,1.0,0.5124,2.4774
14,1.0,0.848,0.006,1.0,0.3743,3.4131
15,0.98,0.296,0.0184,1.0,0.5092,2.9924
16,0.236,0.136,0.0424,1.0,0.5087,3.7031
17,0.562,0.478,0.0285,1.0,0.4765,4.2251
18,0.72,0.23,0.0167,0.7444,0.5189,2.8375
19,0.742,0.408,0.0162,1.0,0.4438,3.5898
20,0.56,0.064,0.0214,0.8857,0.4947,2.3648
21,0.69,0.538,0.0203,0.7652,0.4576,3.1544
22,0.866,0.226,0.0208,0.9977,0.433,2.9357
23,0.764,0.38,0.0209,0.911,0.5019,2.9323
24,0.88,0.792,0.0227,0.5477,0.4981,2.7256
25,0.688,0.28,0.0349,1.0,0.41,3.3307
26,0.782,0.256,0.023,0.6777,0.4803,2.3789
27,0.918,0.706,0.0283,1.0,0.5207,2.9301
28,0.67,0.214,0.0299,1.0,0.4952,3.0572
29,0.802,0.764,0.0274,1.0,0.4551,3.7261
30,0.888,0.886,0.0225,0.6869,0.4884,2.9778
31,0.726,0.628,0.0275,0.9256,0.508,2.9536
32,0.718,0.378,0.0251,0.7994,0.5068,2.5426
33,0.654,0.392,0.0275,0.896,0.525,2.3467
34,0.712,0.0,0.0197,1.0,0.4938,2.5322
35,0.738,0.01,0.0217,0.9946,0.4647,2.1537
36,0.692,0.016,0.0289,1.0,0.4461,2.2714
37,0.722,0.134,0.0277,1.0,0.4175,2.4217
38,0.924,0.018,0.0195,1.0,0.4214,2.2616
39,0.716,0.01,0.0251,1.0,0.4909,2.2631
40,0.728,0.23,0.0275,0.9478,0.4633,2.3765
41,0.56,0.402,0.0321,0.8643,0.5153,2.9169
42,0.666,0.338,0.039,0.9189,0.5116,2.8014
43,0.408,0.104,0.0784,0.9216,0.4748,2.5193
44,0.706,0.476,0.0397,0.5666,0.4634,2.8018
45,0.654,0.41,0.0428,0.6086,0.4902,2.8131
46,0.76,0.268,0.0342,0.9368,0.4852,2.8428
47,0.734,0.172,0.0381,1.0,0.4655,2.9508
48,0.562,0.07,0.0391,1.0,0.4639,2.7957
49,0.624,0.098,0.0449,1.0,0.5036,2.4831
50,0.338,0.076,0.1124,1.0,0.4679,3.3851
51,0.76,0.576,0.0395,0.8105,0.4942,2.8578
52,0.664,0.242,0.0602,1.0,0.4907,2.5008
53,0.782,0.212,0.0384,1.0,0.4768,2.4242
54,0.456,0.0,0.057,1.0,0.513,3.139
55,0.842,0.336,0.0333,0.8527,0.4839,2.3943
56,0.604,0.326,0.0497,0.8675,0.4906,2.6021
57,0.678,0.396,0.0383,0.767,0.4916,2.3599
58,0.466,0.024,0.0858,1.0,0.4631,2.9332
59,0.678,0.276,0.0413,0.7257,0.5058,3.0699
60,0.676,0.088,0.068,0.929,0.5025,2.9273
61,0.8,0.258,0.0325,1.0,0.4627,3.2675
62,0.89,0.46,0.0337,1.0,0.4752,2.8821
63,0.692,0.392,0.0607,1.0,0.4895,3.2409
64,0.704,0.144,0.0795,0.9631,0.475,2.7998
65,0.35,0.164,0.0857,1.0,0.4694,3.3407
66,0.742,0.42,0.0539,0.9946,0.4626,3.3891
67,0.706,0.488,0.0538,0.8754,0.4733,3.6212
68,0.616,0.216,0.0649,0.9708,0.5015,2.7497
69,0.63,0.294,0.0635,0.9048,0.5013,2.5656
70,0.664,0.296,0.0392,0.5873,0.4741,2.8639
71,0.636,0.356,0.0723,0.6824,0.4781,2.8612
72,0.636,0.532,0.0597,0.9119,0.4393,3.3149
73,0.364,0.152,0.0989,0.989,0.5021,3.2386
74,0.532,0.39,0.1015,0.9323,0.5129,3.2172
75,0.762,0.428,0.0604,0.9265,0.4898,2.739
76,0.496,0.23,0.0766,0.8992,0.4669,3.3338
77,0.32,0.168,0.1875,0.875,0.4791,3.1884
78,0.614,0.312,0.0521,0.5081,0.4768,2.4869
79,0.424,0.142,0.0991,1.0,0.4475,3.5151
80,0.58,0.212,0.1069,1.0,0.4608,3.2759
81,0.78,0.576,0.0513,1.0,0.4598,3.3179
82,0.604,0.352,0.1192,0.947,0.4384,3.3225
83,0.556,0.282,0.1151,0.9964,0.4513,3.2351
84,0.748,0.664,0.0374,0.3209,0.4766,2.6131
85,0.72,0.682,0.0667,0.9417,0.4595,3.269
86,0.6,0.446,0.0733,0.8667,0.4664,3.3956
87,0.786,0.256,0.0585,0.972,0.5215,2.5978
88,0.566,0.324,0.0636,1.0,0.487,3.0834
89,0.786,0.758,0.0356,0.8524,0.5116,3.2803
90,0.318,0.294,0.0629,0.8805,0.4711,3.5641
91,0.868,0.514,0.0691,0.8641,0.4693,2.8306
92,0.416,0.332,0.1058,0.7019,0.4905,2.9622
93,0.758,0.728,0.0449,0.7203,0.4319,3.2439
94,0.242,0.168,0.1405,0.8512,0.4725,2.8443
95,0.808,0.622,0.0594,0.9827,0.4608,3.5264
96,0.672,0.49,0.0685,0.878,0.4715,3.1549
97,0.668,0.492,0.0778,0.9281,0.4792,3.1982
98,0.61,0.412,0.1082,0.9344,0.48,3.1719
99,0.552,0.414,0.1051,0.7609,0.4882,3.1261
100,0.642,0.374,0.1059,0.838,0.4885,2.8648
101,0.394,0.076,0.1168,0.868,0.4772,2.8608
102,0.728,0.602,0.1099,0.8489,0.4694,3.1262
103,0.834,0.776,0.1007,0.8034,0.4723,3.2235
104,0.504,0.456,0.1508,0.9683,0.4618,3.5078
105,0.566,0.434,0.1555,0.9152,0.4703,3.2474
106,0.458,0.344,0.1616,0.8515,0.4689,3.4117
107,0.604,0.326,0.1722,0.8974,0.4623,3.2035
108,0.608,0.404,0.1349,0.8454,0.4872,2.9656
109,0.52,0.006,0.1385,0.9885,0.4758,3.0567
110,0.584,0.356,0.1918,0.9418,0.4808,3.1586
111,0.584,0.198,0.1815,0.839,0.4787,2.6143
112,0.766,0.466,0.1645,0.7076,0.4664,2.912
113,0.836,0.612,0.1507,0.8349,0.476,3.2015
114,0.706,0.524,0.1558,0.8782,0.47,3.2596
115,0.782,0.572,0.1458,0.7673,0.4554,3.3029
116,0.508,0.314,0.1614,0.8976,0.4667,3.3683
117,0.922,0.67,0.0694,0.9826,0.4612,3.0418
118,0.702,0.386,0.114,0.7635,0.4944,2.6421
119,0.812,0.566,0.1305,0.5517,0.4813,2.669
120,0.862,0.7,0.1183,0.8097,0.4604,2.9576
121,0.892,0.698,0.0897,0.9013,0.4671,3.2863
122,0.57,0.442,0.1509,0.8561,0.4663,3.2806
123,0.71,0.472,0.1211,0.9887,0.467,3.1745
124,0.29,0.242,0.1655,0.9379,0.4468,3.1924
125,0.516,0.442,0.0969,0.9845,0.4458,3.302
126,0.316,0.216,0.1772,0.9241,0.4485,3.0493
127,0.588,0.386,0.1905,0.5816,0.4589,2.8536
128,0.42,0.264,0.181,0.9048,0.4745,2.7813
129,0.722,0.476,0.097,0.8172,0.4769,2.8535
130,0.552,0.27,0.1667,0.9674,0.4852,2.8409
131,0.866,0.5,0.097,0.8822,0.4935,2.8945
132,0.588,0.264,0.1293,0.9218,0.4765,3.1807
133,0.618,0.366,0.1748,0.9838,0.4346,3.7061
134,0.636,0.182,0.2044,0.9906,0.4759,3.0554
135,0.602,0.404,0.2093,0.9967,0.4477,3.9576
136,0.666,0.412,0.1502,0.988,0.4981,3.1363
137,0.464,0.284,0.1767,0.819,0.4991,2.932
138,0.45,0.102,0.12,0.9689,0.5285,3.0552
139,0.78,0.45,0.1462,0.9077,0.4869,3.1861
140,0.704,0.266,0.1648,0.821,0.5042,2.8666
141,0.714,0.334,0.1709,0.7843,0.5036,2.89
142,0.67,0.404,0.0746,0.9582,0.4641,3.9627
143,0.656,0.298,0.0427,0.7012,0.4863,2.4801
144,0.662,0.24,0.0634,0.9486,0.4685,2.9795
145,0.602,0.358,0.0797,0.9867,0.475,2.757
146,0.708,0.536,0.096,0.8729,0.4728,3.1364
147,0.774,0.456,0.1008,0.9535,0.4644,3.717
148,0.71,0.504,0.0761,0.8901,0.4884,3.3659
149,0.63,0.466,0.073,0.7524,0.4895,2.7786
150,0.592,0.442,0.0743,0.8581,0.4943,2.7379
151,0.848,0.622,0.0731,0.559,0.497,2.472
152,0.88,0.642,0.0636,0.475,0.4943,2.3924
153,0.842,0.62,0.0736,0.4537,0.4802,2.1959
154,0.722,0.464,0.072,0.6593,0.5017,2.4515
155,0.776,0.57,0.0747,0.5928,0.5119,2.3976
156,0.862,0.636,0.0603,0.5522,0.503,2.4358
157,0.84,0.644,0.069,0.6714,0.4951,2.6498
158,0.726,0.4,0.0634,1.0,0.4941,2.6506
159,0.69,0.338,0.0493,0.9971,0.5092,2.468
160,0.672,0.494,0.0774,1.0,0.4605,3.5237
161,0.598,0.408,0.097,0.9331,0.4381,3.3783
162,0.72,0.36,0.0944,0.9028,0.4432,3.2685
163,0.468,0.268,0.0812,0.8077,0.4641,3.0655
164,0.734,0.342,0.0708,0.9183,0.4729,3.4791
165,0.8,0.582,0.0725,0.6275,0.4565,3.6975
166,0.63,0.336,0.0984,0.7238,0.453,2.9642
167,0.606,0.408,0.0924,0.7063,0.4641,2.6039
168,0.788,0.406,0.0787,0.7766,0.4647,2.4868
169,0.574,0.31,0.0976,0.993,0.4337,3.9228
170,0.594,0.25,0.0707,0.6162,0.4747,2.1958
171,0.568,0.284,0.0634,0.6585,0.4742,2.4058
172,0.712,0.382,0.0843,0.9579,0.4796,3.0286
173,0.56,0.344,0.1036,0.9214,0.4719,3.1176
174,0.596,0.306,0.0738,0.9698,0.4713,2.9921
175,0.664,0.45,0.0753,0.8072,0.4767,2.9642
176,0.78,0.562,0.0769,0.8795,0.4856,2.8985
177,0.736,0.542,0.0679,0.875,0.4715,3.314
178,0.69,0.62,0.0928,0.9188,0.4392,3.9637
179,0.68,0.478,0.0824,0.8824,0.4696,3.6007
180,0.6,0.4,0.0967,0.96,0.4689,3.6323
181,0.268,0.118,0.1716,0.9925,0.4263,3.6739
182,0.438,0.334,0.0868,1.0,0.3592,3.4512
183,0.606,0.45,0.0924,0.9307,0.4769,3.899
184,0.584,0.324,0.113,0.6336,0.4909,3.0562
185,0.744,0.518,0.0753,0.672,0.4767,3.6894
186,0.662,0.382,0.0967,0.9094,0.4527,3.7796
187,0.676,0.496,0.0858,0.9645,0.4884,3.1447
188,0.63,0.336,0.1206,0.9175,0.4567,2.9555
189,0.658,0.398,0.0699,1.0,0.4626,3.0467
190,0.424,0.34,0.1132,0.9953,0.4494,3.5066
191,0.748,0.288,0.0829,0.9759,0.4509,3.5751
192,0.732,0.324,0.0601,0.9071,0.4639,3.4081
193,0.522,0.472,0.1111,0.6935,0.4416,3.2212
194,0.628,0.528,0.0764,0.7707,0.461,2.9525
195,0.666,0.418,0.1021,0.8408,0.4673,3.0447
196,0.696,0.506,0.1063,0.9684,0.4904,3.3886
197,0.674,0.464,0.0801,0.9644,0.4697,3.2751
198,0.718,0.666,0.0641,0.922,0.4648,3.3334
199,0.706,0.578,0.0708,0.898,0.4664,3.2867
200,0.64,0.548,0.1094,0.9219,0.4576,3.4457
201,0.668,0.58,0.0838,0.988,0.4246,3.2318
202,0.808,0.614,0.0891,0.9356,0.4929,3.1899
203,0.654,0.504,0.0765,1.0,0.4745,3.4237
204,0.742,0.596,0.0889,1.0,0.4764,3.4779
